
STATUS | wrapper  | 2020/03/25 20:23:54 | --> Wrapper Started as Console
STATUS | wrapper  | 2020/03/25 20:23:54 | Java Service Wrapper Community Edition 64-bit 3.5.42
STATUS | wrapper  | 2020/03/25 20:23:54 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2020/03/25 20:23:54 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2020/03/25 20:23:54 | 
STATUS | wrapper  | 2020/03/25 20:23:54 | Launching a JVM...
INFO   | jvm 1    | 2020/03/25 20:23:54 | WrapperManager: Initializing...
INFO   | jvm 1    | 2020/03/25 20:23:57 | WrapperManager: 
INFO   | jvm 1    | 2020/03/25 20:23:57 | WrapperManager: ERROR - Unable to load the Wrapper's native library because none of the
INFO   | jvm 1    | 2020/03/25 20:23:57 | WrapperManager:         following files:
INFO   | jvm 1    | 2020/03/25 20:23:57 | WrapperManager:           libwrapper-macosx-universal-64.dylib
INFO   | jvm 1    | 2020/03/25 20:23:57 | WrapperManager:           libwrapper.dylib
INFO   | jvm 1    | 2020/03/25 20:23:57 | WrapperManager:         could be located on the following java.library.path:
INFO   | jvm 1    | 2020/03/25 20:23:57 | WrapperManager:           /Users/brady/chrome_temp/wrapper-macosx-universal-64-3.5.42/bin/../lib
INFO   | jvm 1    | 2020/03/25 20:23:57 | WrapperManager:         Please see the documentation for the wrapper.java.library.path
INFO   | jvm 1    | 2020/03/25 20:23:57 | WrapperManager:         configuration property.
INFO   | jvm 1    | 2020/03/25 20:23:57 | WrapperManager: 
INFO   | jvm 1    | 2020/03/25 20:23:57 | DemoApp: Initializing...
STATUS | wrapper  | 2020/03/25 20:23:59 | INT trapped.  Forcing immediate shutdown.
INFO   | wrapper  | 2020/03/25 20:23:59 | JVM exited on its own while waiting to kill the application.
STATUS | wrapper  | 2020/03/25 20:23:59 | <-- Wrapper Stopped
STATUS | wrapper  | 2020/03/25 20:24:07 | --> Wrapper Started as Console
